kepid,kepoi_name,koi_disposition_pred,koi_disposition_pred_value
11032748,K08039.01,CONFIRMED,0.5328313708305359
4572728,K08249.01,FALSE POSITIVE,0.011930570006370544
5098334,K08253.01,FALSE POSITIVE,0.00046667095739394426
9142714,K07928.01,FALSE POSITIVE,0.003927090670913458
9210820,K07930.01,FALSE POSITIVE,0.03897737339138985
9227215,K07931.01,FALSE POSITIVE,0.004827375523746014
9278575,K07932.01,FALSE POSITIVE,0.0008680284954607487
11139682,K08043.01,CONFIRMED,0.7304094433784485
11182706,K08046.01,FALSE POSITIVE,0.08664572983980179
11294822,K08047.01,FALSE POSITIVE,0.0028712539933621883
5683219,K08257.01,FALSE POSITIVE,0.014302765019237995
5956171,K08259.01,FALSE POSITIVE,0.0023763200733810663
9390228,K07934.01,FALSE POSITIVE,0.0028569549322128296
9469494,K07938.01,FALSE POSITIVE,0.0067467535845935345
9521317,K07940.01,FALSE POSITIVE,0.0004717829287983477
11296205,K08048.01,FALSE POSITIVE,0.001118973596021533
11350634,K08050.01,CONFIRMED,0.6144078373908997
11358305,K08052.01,CONFIRMED,0.795158863067627
11392362,K08053.01,FALSE POSITIVE,0.24036456644535065
11443757,K08054.01,CONFIRMED,0.5452264547348022
8439949,K08156.01,FALSE POSITIVE,0.0042749373242259026
8527297,K08157.01,FALSE POSITIVE,0.0012842188589274883
6356506,K08263.01,FALSE POSITIVE,0.016829412430524826
11453349,K08055.01,FALSE POSITIVE,0.018074192106723785
8608544,K08159.02,CONFIRMED,0.8275735974311829
8708961,K08163.01,FALSE POSITIVE,0.009661858901381493
7832787,K08270.01,FALSE POSITIVE,0.009766028262674809
8022520,K08272.01,FALSE POSITIVE,0.0005114587256684899
9604563,K07949.01,FALSE POSITIVE,0.022094067186117172
9640649,K07951.01,FALSE POSITIVE,0.031565241515636444
9650579,K07953.01,FALSE POSITIVE,0.0005014660418964922
9650762,K07954.01,FALSE POSITIVE,0.005376871209591627
